,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,teams_name,name_player,player_position,vote,goal,assistance,penalties_scored_saved,missed_penalties,own_goal,admonitions,expulsion,fanta_voto,year,day
1,atalanta,Sportiello M.,Por,5,"
		  			-4
		  ",-,-,-,-,-,-,1,2016-20,1
2,atalanta,Toloi R.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
3,atalanta,Drame B.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
4,atalanta,Conti A.,Dif,5,"
-		  ",1,-,-,-,1,-,5.5,2016-20,1
5,atalanta,Zukanovic E.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
6,atalanta,Raimondi C.,Dif,5.5,"
-		  ",-,-,-,-,1,-,5,2016-20,1
7,atalanta,Kessie F.,Cen,7,"
2		  ",-,-,-,-,-,-,13,2016-20,1
8,atalanta,Kurtic J.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
9,atalanta,Gomez A.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
10,atalanta,Spinazzola L.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
11,atalanta,Paloschi A.,Att,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
12,atalanta,Gagliardini R.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
13,atalanta,Dalessandro M.,Tre,7,"
-		  ",-,-,-,-,-,-,7,2016-20,1
14,atalanta,Petagna A.,Att,6,"
1		  ",-,-,-,-,-,-,9,2016-20,1
15,bologna,Mirante A.,Por,6,"
		  			-
		  ",-,-,-,-,-,-,6,2016-20,1
16,bologna,Gastaldello D.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
17,bologna,Maietta D.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
18,bologna,Masina A.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
19,bologna,Krafth E.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
20,bologna,Nagy A.,Cen,7,"
-		  ",-,-,-,-,-,-,7,2016-20,1
21,bologna,Pulgar E.,Cen,6,"
-		  ",-,-,-,-,1,-,5.5,2016-20,1
22,bologna,Taider S.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2016-20,1
23,bologna,Krejci L.,Tre,6.5,"
-		  ",-,-,-,-,-,-,6.5,2016-20,1
24,bologna,Verdi S.,Tre,6.5,"
-		  ",-,-,-,-,-,-,6.5,2016-20,1
25,bologna,Destro M.,Att,6.5,"
1		  ",-,-,-,-,-,-,9.5,2016-20,1
26,bologna,Oikonomou M.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
27,bologna,Dzemaili B.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2016-20,1
28,bologna,Rizzo L.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
29,cagliari,Storari M.,Por,5.5,"
		  			-3
		  ",-,-,-,-,-,-,2.5,2016-20,1
30,cagliari,Isla M.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
31,cagliari,Capuano M.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
32,cagliari,Murru N.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
33,cagliari,Alves B.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
34,cagliari,Ceppitelli L.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
35,cagliari,Padoin S.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
36,cagliari,Di Gennaro D.,Cen,7,"
-		  ",-,-,-,-,-,-,7,2016-20,1
37,cagliari,Ionita A.,Cen,6,"
-		  ",-,-,-,-,1,-,5.5,2016-20,1
38,cagliari,Borriello M.,Att,7,"
1		  ",-,-,-,-,1,-,9.5,2016-20,1
39,cagliari,Sau M.,Att,6,"
-		  ",1,-,-,-,-,-,7,2016-20,1
40,cagliari,Munari G.,Cen,5.5,"
-		  ",-,-,-,-,1,-,5,2016-20,1
41,cagliari,Pajac M.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
42,cagliari,Giannetti N.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
43,chievo,Sorrentino S.,Por,6.5,"
		  			-
		  ",-,-,-,-,-,-,6.5,2016-20,1
44,chievo,Gobbi M.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2016-20,1
45,chievo,Dainelli D.,Dif,7,"
-		  ",-,-,-,-,-,-,7,2016-20,1
46,chievo,Cesar B.,Dif,7,"
-		  ",-,-,-,-,-,-,7,2016-20,1
47,chievo,Cacciatore F.,Dif,7,"
-		  ",-,-,-,-,-,-,7,2016-20,1
48,chievo,Hetemaj P.,Cen,7,"
-		  ",-,-,-,-,-,-,7,2016-20,1
49,chievo,Radovanovic I.,Cen,6.5,"
-		  ",-,-,-,-,1,-,6,2016-20,1
50,chievo,Castro L.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2016-20,1
51,chievo,Birsa V.,Tre,8,"
2		  ",-,-,-,-,-,-,14,2016-20,1
52,chievo,Meggiorini R.,Att,6.5,"
-		  ",-,-,-,-,1,-,6,2016-20,1
53,chievo,Inglese R.,Att,7,"
-		  ",-,-,-,-,-,-,7,2016-20,1
54,chievo,Rigoni N.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
55,chievo,Parigini V.,Tre,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
56,chievo,Pellissier S.,Att,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
57,crotone,Cordaz A.,Por,7,"
		  			-1
		  ",-,-,-,-,-,-,6,2016-20,1
58,crotone,Martella B.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
59,crotone,Ceccherini F.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
60,crotone,Ferrari G.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
61,crotone,Dos Santos C.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
62,crotone,Sampirisi M.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
63,crotone,Rohden M.,Cen,5.5,"
-		  ",-,-,-,-,1,-,5,2016-20,1
64,crotone,Salzano A.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
65,crotone,Palladino R.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
66,crotone,Stoian A.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
67,crotone,Simy ,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
68,crotone,Fazzi N.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
69,crotone,De Giorgio P.,Tre,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
70,empoli,Pelagotti A.,Por,6,"
		  			-1
		  ",-,-,-,-,-,-,5,2016-20,1
71,empoli,Costa A.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
72,empoli,Laurini V.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
73,empoli,Pasqual M.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
74,empoli,Cosic U.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
75,empoli,Buchel M.,Cen,5.5,"
-		  ",-,-,-,-,1,-,5,2016-20,1
76,empoli,Tello A.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
77,empoli,Maiello R.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
78,empoli,Saponara R.,Tre,6,"
-		  ",-,-,-,-,1,-,5.5,2016-20,1
79,empoli,Maccarone M.,Att,6,"
-		  ",-,-,-,-,-,1,5,2016-20,1
80,empoli,Pucciarelli M.,Att,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
81,empoli,Croce D.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
82,empoli,Krunic R.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
83,empoli,Gilardino A.,Att,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
84,fiorentina,Tatarusanu C.,Por,5,"
		  			-2
		  ",-,-,-,-,-,-,3,2016-20,1
85,fiorentina,Rodriguez G.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
86,fiorentina,Astori D.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
87,fiorentina,Alonso M.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
88,fiorentina,Tomovic N.,Dif,5,"
-		  ",-,-,-,-,1,-,4.5,2016-20,1
89,fiorentina,Vecino M.,Cen,6,"
-		  ",-,-,-,-,1,-,5.5,2016-20,1
90,fiorentina,Badelj M.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
91,fiorentina,Chiesa F.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
92,fiorentina,Ilicic J.,Tre,5.5,"
-		  ",1,-,-,-,-,-,6.5,2016-20,1
93,fiorentina,Bernardeschi F.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
94,fiorentina,Kalinic N.,Att,6.5,"
1		  ",-,-,-,-,1,-,9,2016-20,1
95,fiorentina,Sanchez C.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
96,fiorentina,Tello C.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
97,fiorentina,Rossi G.,Att,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
98,genoa,Lamanna E.,Por,7,"
		  			-1
		  ",-,-,-,-,-,-,6,2016-20,1
99,genoa,Burdisso N.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2016-20,1
100,genoa,Izzo A.,Dif,6.5,"
-		  ",-,-,-,-,1,-,6,2016-20,1
101,genoa,Gentiletti S.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
102,genoa,Laxalt D.,Cen,6.5,"
1		  ",-,-,-,-,-,-,9.5,2016-20,1
103,genoa,Rincon T.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
104,genoa,Veloso M.,Cen,6.5,"
-		  ",-,-,-,-,1,-,6,2016-20,1
105,genoa,Ocampos L.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
106,genoa,Lazovic D.,Tre,6.5,"
-		  ",1,-,-,-,-,-,7.5,2016-20,1
107,genoa,Pavoletti L.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
108,genoa,Pandev G.,Att,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
109,genoa,Fiamozzi R.,Dif,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
110,genoa,Ntcham O.,Cen,7,"
1		  ",-,-,-,-,-,-,10,2016-20,1
111,genoa,Rigoni L.,Cen,6.5,"
1		  ",-,-,-,-,1,-,9,2016-20,1
112,inter,Handanovic S.,Por,5.5,"
		  			-2
		  ",-,-,-,-,-,-,3.5,2016-20,1
113,inter,Miranda J.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
114,inter,Nagatomo Y.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
115,inter,Dambrosio D.,Dif,4.5,"
-		  ",-,-,-,-,1,-,4,2016-20,1
116,inter,Ranocchia A.,Dif,4,"
-		  ",-,-,-,-,-,-,4,2016-20,1
117,inter,Medel G.,Cen,5.5,"
-		  ",-,-,-,-,1,-,5,2016-20,1
118,inter,Kondogbia G.,Cen,6,"
-		  ",-,-,-,-,1,-,5.5,2016-20,1
119,inter,Banega E.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
120,inter,Candreva A.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
121,inter,Eder C.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
122,inter,Icardi M.,Att,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
123,inter,Brozovic M.,Cen,5.5,"
-		  ",-,-,-,-,1,-,5,2016-20,1
124,inter,Perisic I.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
125,inter,Palacio R.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2016-20,1
126,juventus,Buffon G.,Por,6,"
		  			-1
		  ",-,-,-,-,-,-,5,2016-20,1
127,juventus,Bonucci L.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
128,juventus,Chiellini G.,Dif,6.5,"
-		  ",1,-,-,-,-,-,7.5,2016-20,1
129,juventus,Barzagli A.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2016-20,1
130,juventus,Alves D.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
131,juventus,Alex Sandro ,Dif,5,"
-		  ",-,-,-,-,-,-,5,2016-20,1
132,juventus,Khedira S.,Cen,7,"
1		  ",-,-,-,-,-,-,10,2016-20,1
133,juventus,Lemina M.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2016-20,1
134,juventus,Asamoah K.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2016-20,1
135,juventus,Dybala P.,Att,6.5,"
-		  ",-,-,-,-,-,-,6.5,2016-20,1
136,juventus,Mandzukic M.,Att,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
137,juventus,Evra P.,Dif,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
138,juventus,Hernanes ,Cen,-,"
-		  ",-,-,-,-,-,-,-,2016-20,1
139,juventus,Higuain G.,Att,7,"
1		  ",-,-,-,-,-,-,10,2016-20,1
140,lazio,Marchetti F.,Por,5,"
		  			-3
		  ",-,-,-,-,-,-,2,2016-20,1
141,lazio,Hoedt W.,Dif,6.5,"
1		  ",-,-,-,-,-,-,9.5,2016-20,1
142,lazio,Lukaku J.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2016-20,1
143,lazio,Basta D.,Dif,6.5,"
-		  ",1,-,-,-,-,-,7.5,2016-20,1
144,lazio,De Vrij S.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
145,lazio,Biglia L.,Cen,6.5,"
-		  ",1,-,-,-,-,-,7.5,2016-20,1
146,lazio,Parolo M.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
147,lazio,Milinkovic S.,Cen,6,"
-		  ",1,-,-,-,-,-,7,2016-20,1
148,lazio,Kishna R.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2016-20,1
