,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,teams_name,name_player,player_position,vote,goal,assistance,penalties_scored_saved,missed_penalties,own_goal,admonitions,expulsion,fanta_voto,year,day
1,atalanta,Gollini P.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2020-20,1
2,atalanta,Carnesecchi M.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2020-20,1
3,atalanta,Sportiello M.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2020-20,1
4,atalanta,Rossi F.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2020-20,1
5,atalanta,Bellanova R.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
6,atalanta,Piccini C.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
7,atalanta,Reca A.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
8,atalanta,Caldara M.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
9,atalanta,Palomino J.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
10,atalanta,Sutalo B.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
11,atalanta,Toloi R.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
12,atalanta,Hateboer H.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
13,atalanta,Gosens R.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
14,atalanta,Da Riva J.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
15,atalanta,Carraro M.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
16,atalanta,Pasalic M.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
17,atalanta,Pessina M.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
18,atalanta,De Roon M.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
19,atalanta,Freuler R.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
20,atalanta,Miranchuk A.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
21,atalanta,Ilicic J.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
22,atalanta,Gomez A.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
23,atalanta,Colley E.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
24,atalanta,Malinovskiy R.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
25,atalanta,Traore A.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
26,atalanta,Zapata D.,Att,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
27,atalanta,Muriel L.,Att,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
28,benevento,Montipo L.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2020-20,1
29,benevento,Gori P.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2020-20,1
30,benevento,Manfredini N.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2020-20,1
31,benevento,Volta M.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
32,benevento,Barba F.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
33,benevento,Rillo F.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
34,benevento,Foulon D.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
35,benevento,Glik K.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
36,benevento,Caldirola L.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
37,benevento,Tuia A.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
38,benevento,Maggio C.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
39,benevento,Letizia G.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
40,benevento,Antei L.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
41,benevento,Kragl O.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
42,benevento,Hetemaj P.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
43,benevento,Del Pinto L.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
44,benevento,Dabo B.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
45,benevento,Basit A.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
46,benevento,Ionita A.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
47,benevento,Viola N.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
48,benevento,Tello A.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
49,benevento,Schiattarella P.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
50,benevento,Caprari G.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
51,benevento,Vokic D.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
52,benevento,Improta R.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
53,benevento,Insigne R.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
54,benevento,Di Serio G.,Att,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
55,benevento,Sau M.,Att,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
56,benevento,Moncini G.,Att,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
57,benevento,Lapadula G.,Att,-,"
-		  ",-,-,-,-,-,-,6,2020-20,1
58,bologna,Skorupski L.,Por,5.5,"
		  			-2
		  ",-,-,-,-,-,-,3.5,2020-20,1
59,bologna,Danilo L.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2020-20,1
60,bologna,Tomiyasu T.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2020-20,1
61,bologna,Dijks M.,Dif,5,"
-		  ",-,-,-,-,-,1,4,2020-20,1
62,bologna,De Silvestri L.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2020-20,1
63,bologna,Schouten J.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2020-20,1
64,bologna,Soriano R.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2020-20,1
65,bologna,Dominguez N.,Cen,5,"
-		  ",-,-,-,-,1,-,4.5,2020-20,1
66,bologna,Orsolini R.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2020-20,1
67,bologna,Palacio R.,Att,6,"
-		  ",-,-,-,-,-,-,6,2020-20,1
68,bologna,Barrow M.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2020-20,1
69,bologna,Svanberg M.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2020-20,1
70,bologna,Skov Olsen A.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2020-20,1
71,bologna,Sansone N.,Tre,5.5,"
-		  ",-,-,-,-,1,-,5,2020-20,1
72,bologna,Vignato E.,Tre,-,"
-		  ",-,-,-,-,-,-,-,2020-20,1
73,bologna,Santander F.,Att,-,"
-		  ",-,-,-,-,-,-,-,2020-20,1
74,cagliari,Cragno A.,Por,6,"
		  			-1
		  ",-,-,-,-,-,-,5,2020-20,1
