,0,1,2,3,4,5,6,7,8,9,10,11,12,13
63,empoli,Acquah A.,Cen,7,"
-		  ",-,-,-,-,-,-,7,2018-20,1
64,empoli,Krunic R.,Cen,7,"
1		  ",-,-,-,-,-,-,11,2018-20,1
65,empoli,Zajc M.,Tre,7,"
-		  ",1,-,-,-,-,-,8,2018-20,1
66,empoli,Caputo F.,Att,7,"
1		  ",-,-,-,-,-,-,10,2018-20,1
67,empoli,La Gumina A.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
68,empoli,Pasqual M.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
69,empoli,Veseli F.,Dif,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
70,empoli,Bennacer I.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
71,fiorentina,Lafont A.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
72,fiorentina,Dragowski B.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
73,fiorentina,Ceccherini F.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
74,fiorentina,Biraghi C.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
75,fiorentina,Vitor Hugo F.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
76,fiorentina,Pezzella G.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
77,fiorentina,Olivera M.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
78,fiorentina,Milenkovic N.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
79,fiorentina,Laurini V.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
80,fiorentina,Hancko D.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
81,fiorentina,Gillekens J.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
82,fiorentina,Diks K.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
83,fiorentina,Dabo B.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
84,fiorentina,Fernandes E.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
85,fiorentina,Norgaard C.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
86,fiorentina,Benassi M.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
87,fiorentina,Cristoforo S.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
88,fiorentina,Gerson S.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
89,fiorentina,Mirallas K.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
90,fiorentina,Sottil R.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
91,fiorentina,Chiesa F.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
92,fiorentina,Pjaca M.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
93,fiorentina,Thereau C.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
94,fiorentina,Zekhnini R.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
95,fiorentina,Eysseric V.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
96,fiorentina,Simeone G.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
97,fiorentina,Graiciar M.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
98,fiorentina,Vlahovic D.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
99,frosinone,Sportiello M.,Por,6,"
		  			-4
		  ",-,-,-,-,-,-,2,2018-20,1
100,frosinone,Molinaro C.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
101,frosinone,Zampano F.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
102,frosinone,Goldaniga E.,Dif,5,"
-		  ",-,-,-,-,1,-,4.5,2018-20,1
103,frosinone,Krajnc L.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
104,frosinone,Salamon B.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
105,frosinone,Hallfredsson E.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
106,frosinone,Chibsah R.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
107,frosinone,Maiello R.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
108,frosinone,Ciano C.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
109,frosinone,Perica S.,Att,5,"
-		  ",-,-,-,-,1,-,4.5,2018-20,1
110,frosinone,Soddimo D.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
111,frosinone,Matarese L.,Tre,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
