,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,teams_name,name_player,player_position,vote,goal,assistance,penalties_scored_saved,missed_penalties,own_goal,admonitions,expulsion,fanta_voto,year,day
1,atalanta,Gollini P.,Por,6.5,"
		  			-2
		  ",-,-,-,-,-,-,4.5,2019-20,1
2,atalanta,Djimsiti B.,Dif,4.5,"
-		  ",-,-,-,-,-,-,4.5,2019-20,1
3,atalanta,Hateboer H.,Dif,6.5,"
-		  ",1,-,-,-,-,-,7.5,2019-20,1
4,atalanta,Palomino J.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2019-20,1
5,atalanta,Masiello A.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2019-20,1
6,atalanta,Gosens R.,Dif,6.5,"
1		  ",-,-,-,-,-,-,11,2019-20,1
7,atalanta,De Roon M.,Cen,6,"
-		  ",-,-,-,-,1,-,5.5,2019-20,1
8,atalanta,Freuler R.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2019-20,1
9,atalanta,Pasalic M.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2019-20,1
10,atalanta,Gomez A.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2019-20,1
11,atalanta,Zapata D.,Att,6.5,"
-		  ",-,-,-,-,-,-,6.5,2019-20,1
12,atalanta,Toloi R.,Dif,-,"
-		  ",-,-,-,-,-,-,-,2019-20,1
13,atalanta,Malinovskiy R.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2019-20,1
14,atalanta,Muriel L.,Att,8,"
2		  ",-,-,-,-,-,-,14,2019-20,1
15,bologna,Skorupski L.,Por,6,"
		  			-1
		  ",-,-,-,-,-,-,5,2019-20,1
16,bologna,Danilo L.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2019-20,1
17,bologna,Denswil S.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2019-20,1
18,bologna,Dijks M.,Dif,5,"
-		  ",-,-,-,-,1,-,4.5,2019-20,1
19,bologna,Tomiyasu T.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2019-20,1
20,bologna,Poli A.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2019-20,1
21,bologna,Kingsley M.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2019-20,1
22,bologna,Orsolini R.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2019-20,1
23,bologna,Soriano R.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2019-20,1
24,bologna,Sansone N.,Tre,6,"
1		  ",-,1,-,-,-,-,9.5,2019-20,1
25,bologna,Palacio R.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2019-20,1
26,bologna,Dzemaili B.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2019-20,1
