,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,teams_name,name_player,player_position,vote,goal,assistance,penalties_scored_saved,missed_penalties,own_goal,admonitions,expulsion,fanta_voto,year,day
1,atalanta,Sportiello M.,Por,7,"
		  			-
		  ",-,-,-,-,-,-,7,2014-20,1
2,atalanta,Benalouane Y.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2014-20,1
3,atalanta,Biava G.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2014-20,1
4,atalanta,Drame' B.,Dif,5.5,"
-		  ",-,-,-,-,1,-,5,2014-20,1
5,atalanta,Zappacosta D.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2014-20,1
6,atalanta,Carmona C.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2014-20,1
7,atalanta,Cigarini L.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2014-20,1
8,atalanta,Moralez M.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2014-20,1
9,atalanta,Estigarribia M.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2014-20,1
10,atalanta,Denis G.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2014-20,1
11,atalanta,Spinazzola L.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2014-20,1
12,atalanta,Boakye R.,Att,5,"
-		  ",-,-,-,-,1,-,4.5,2014-20,1
13,atalanta,Bianchi R.,Att,6,"
-		  ",-,-,-,-,-,-,6,2014-20,1
14,cagliari,Colombi S.,Por,6.5,"
		  			-1
		  ",-,-,-,-,-,-,5.5,2014-20,1
15,cagliari,Pisano F.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2014-20,1
16,cagliari,Avelar D.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2014-20,1
17,cagliari,Ceppitelli L.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2014-20,1
18,cagliari,Rossettini L.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2014-20,1
19,cagliari,Crisetig L.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2014-20,1
