,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,teams_name,name_player,player_position,vote,goal,assistance,penalties_scored_saved,missed_penalties,own_goal,admonitions,expulsion,fanta_voto,year,day
1,atalanta,Berisha E.,Por,5.5,"
		  			-1
		  ",-,-,-,-,-,-,4.5,2017-20,1
2,atalanta,Palomino J.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
3,atalanta,Masiello A.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
4,atalanta,Toloi R.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2017-20,1
5,atalanta,Hateboer H.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
6,atalanta,Gosens R.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
7,atalanta,Freuler R.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
8,atalanta,Cristante B.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2017-20,1
9,atalanta,Gomez A.,Tre,6.5,"
-		  ",-,-,-,-,-,-,6.5,2017-20,1
10,atalanta,Kurtic J.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
11,atalanta,Petagna A.,Att,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
12,atalanta,De Roon M.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
13,atalanta,Ilicic J.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
14,atalanta,Cornelius A.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
15,benevento,Belec V.,Por,6.5,"
		  			-2
		  ",-,-,-,-,-,-,4.5,2017-20,1
16,benevento,Costa A.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
17,benevento,Venuti L.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
18,benevento,Lucioni F.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
19,benevento,Letizia G.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
20,benevento,Del Pinto L.,Cen,5.5,"
-		  ",-,-,-,-,1,-,5,2017-20,1
21,benevento,Cataldi D.,Cen,5,"
-		  ",1,-,-,-,1,-,5.5,2017-20,1
22,benevento,Dalessandro M.,Tre,6.5,"
-		  ",-,-,-,-,-,-,6.5,2017-20,1
23,benevento,Ciciretti A.,Tre,7,"
1		  ",-,-,-,-,-,-,10.5,2017-20,1
24,benevento,Coda M.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
25,benevento,Puscas G.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
26,benevento,Di Chiara G.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
27,benevento,Viola N.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2017-20,1
28,benevento,Cisse K.,Att,-,"
-		  ",-,-,-,-,-,-,-,2017-20,1
29,bologna,Mirante A.,Por,4.5,"
		  			-1
		  ",-,-,-,-,-,-,3.5,2017-20,1
30,bologna,Torosidis V.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2017-20,1
31,bologna,Masina A.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
32,bologna,Maietta D.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
33,bologna,De Maio S.,Dif,6.5,"
-		  ",-,-,-,-,1,-,6,2017-20,1
34,bologna,Pulgar E.,Cen,5.5,"
-		  ",-,-,-,-,1,-,5,2017-20,1
35,bologna,Taider S.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
36,bologna,Poli A.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2017-20,1
37,bologna,Di Francesco F.,Tre,7.5,"
1		  ",-,-,-,-,-,-,11,2017-20,1
38,bologna,Verdi S.,Tre,6.5,"
-		  ",1,-,-,-,-,-,7.5,2017-20,1
39,bologna,Destro M.,Att,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
40,bologna,Donsah G.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
41,bologna,Palacio R.,Tre,-,"
-		  ",-,-,-,-,-,-,-,2017-20,1
42,bologna,Krejci L.,Tre,-,"
-		  ",-,-,-,-,-,-,-,2017-20,1
43,cagliari,Cragno A.,Por,5.5,"
		  			-3
		  ",-,-,-,-,-,-,2.5,2017-20,1
44,cagliari,Andreolli M.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
45,cagliari,Pisacane F.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
46,cagliari,Capuano M.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
47,cagliari,Ionita A.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
48,cagliari,Padoin S.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
49,cagliari,Farago P.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
50,cagliari,Barella N.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2017-20,1
51,cagliari,Cigarini L.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
52,cagliari,Farias D.,Tre,6,"
-		  ",-,-,1,-,-,-,3,2017-20,1
53,cagliari,Cop D.,Att,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
54,cagliari,Dessena D.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2017-20,1
55,cagliari,Joao Pedro ,Tre,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
56,cagliari,Sau M.,Att,-,"
-		  ",-,-,-,-,-,-,-,2017-20,1
57,chievo,Sorrentino S.,Por,6.5,"
		  			-1
		  ",-,-,-,-,-,-,5.5,2017-20,1
58,chievo,Gobbi M.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
59,chievo,Cacciatore F.,Dif,6,"
-		  ",-,-,-,-,1,-,5.5,2017-20,1
60,chievo,Dainelli D.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
61,chievo,Gamberini A.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
62,chievo,Radovanovic I.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
63,chievo,Hetemaj P.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
64,chievo,Castro L.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2017-20,1
65,chievo,Birsa V.,Tre,6.5,"
1		  ",1,-,-,-,-,-,11,2017-20,1
66,chievo,Pucciarelli M.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
67,chievo,Inglese R.,Att,6.5,"
1		  ",-,-,-,-,-,-,9.5,2017-20,1
68,chievo,Rigoni N.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2017-20,1
69,chievo,Garritano L.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
70,chievo,Pellissier S.,Att,-,"
-		  ",-,-,-,-,-,-,-,2017-20,1
71,crotone,Cordaz A.,Por,6.5,"
		  			-3
		  ",-,-,-,-,-,-,3.5,2017-20,1
72,crotone,Cabrera L.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
73,crotone,Ceccherini F.,Dif,4,"
-		  ",-,-,-,-,-,1,3,2017-20,1
74,crotone,Faraoni D.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2017-20,1
75,crotone,Martella B.,Dif,4.5,"
-		  ",-,-,-,-,-,-,4.5,2017-20,1
76,crotone,Barberis A.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
77,crotone,Rohden M.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
78,crotone,Mandragora R.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
79,crotone,Stoian A.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
80,crotone,Trotta M.,Att,-,"
-		  ",-,-,-,-,-,-,-,2017-20,1
81,crotone,Budimir A.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
82,crotone,Dussenne N.,Dif,5,"
-		  ",-,-,-,-,1,-,4.5,2017-20,1
83,crotone,Izco M.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
84,crotone,Nalini A.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2017-20,1
85,fiorentina,Sportiello M.,Por,6.5,"
		  			-3
		  ",-,-,-,-,-,-,3.5,2017-20,1
86,fiorentina,Astori D.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
87,fiorentina,Vitor Hugo F.,Dif,4.5,"
-		  ",-,-,-,-,-,-,4.5,2017-20,1
88,fiorentina,Olivera M.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2017-20,1
