,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,teams_name,name_player,player_position,vote,goal,assistance,penalties_scored_saved,missed_penalties,own_goal,admonitions,expulsion,fanta_voto,year,day
1,atalanta,Sportiello M.,Por,6.5,"
		  			-1
		  ",-,-,-,-,-,-,5.5,2015-20,1
2,atalanta,Cherubin N.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
3,atalanta,Drame B.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2015-20,1
4,atalanta,Masiello A.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
5,atalanta,Stendardo G.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
6,atalanta,Carmona C.,Cen,4.5,"
-		  ",-,-,-,-,-,1,3.5,2015-20,1
7,atalanta,De Roon M.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2015-20,1
8,atalanta,Kurtic J.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2015-20,1
9,atalanta,Gomez A.,Tre,6.5,"
-		  ",-,-,-,-,-,-,6.5,2015-20,1
10,atalanta,Moralez M.,Tre,5,"
-		  ",-,-,-,-,1,-,4.5,2015-20,1
11,atalanta,Denis G.,Att,5,"
-		  ",-,-,-,-,-,-,5,2015-20,1
12,atalanta,Migliaccio G.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
13,atalanta,Dalessandro M.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
14,atalanta,Pinilla M.,Att,6,"
-		  ",-,-,-,-,1,-,5.5,2015-20,1
15,bologna,Mirante A.,Por,7,"
		  			-2
		  ",-,-,-,-,-,-,5,2015-20,1
16,bologna,Ferrari A.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2015-20,1
17,bologna,Masina A.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
18,bologna,Oikonomou M.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2015-20,1
19,bologna,Rossettini L.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2015-20,1
20,bologna,Brighi M.,Cen,4.5,"
-		  ",-,-,-,-,1,-,4,2015-20,1
21,bologna,Crisetig L.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
22,bologna,Crimi M.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
23,bologna,Brienza F.,Tre,7,"
-		  ",1,-,-,-,-,-,8,2015-20,1
24,bologna,Mancosu M.,Att,7,"
1		  ",-,-,-,-,-,-,10,2015-20,1
25,bologna,Acquafresca R.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
26,bologna,Pulgar E.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2015-20,1
27,bologna,Diawara A.,Cen,-,"
-		  ",-,-,-,-,-,-,-,2015-20,1
28,bologna,Destro M.,Att,5,"
-		  ",-,-,-,-,-,-,5,2015-20,1
29,carpi,Brkic Z.,Por,4,"
		  			-5
		  ",-,-,-,-,-,-,-1,2015-20,1
30,carpi,Spolli N.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
31,carpi,Bubnjic I.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2015-20,1
32,carpi,Gabriel Silva A.,Dif,5,"
-		  ",1,-,-,-,-,-,6,2015-20,1
33,carpi,Gagliolo R.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
34,carpi,Letizia G.,Dif,4,"
-		  ",-,-,-,-,1,-,3.5,2015-20,1
35,carpi,Marrone L.,Cen,6.5,"
-		  ",-,-,-,-,1,-,6,2015-20,1
36,carpi,Porcari F.,Cen,5,"
-		  ",-,-,-,-,1,-,4.5,2015-20,1
37,carpi,Lazzari A.,Cen,6.5,"
1		  ",-,-,1,-,-,-,6.5,2015-20,1
38,carpi,Matos ,Tre,6.5,"
1		  ",-,-,-,-,-,-,9.5,2015-20,1
39,carpi,Lasagna K.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
40,carpi,Wallace ,Dif,6,"
-		  ",-,-,-,-,-,-,6,2015-20,1
41,carpi,Di Gaudio A.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2015-20,1
42,carpi,Wilczek K.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
43,chievo,Bizzarri A.,Por,7,"
		  			-1
		  ",-,-,-,-,-,-,6,2015-20,1
44,chievo,Gobbi M.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2015-20,1
45,chievo,Cesar B.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2015-20,1
46,chievo,Frey N.,Dif,5,"
-		  ",-,-,-,-,-,-,5,2015-20,1
47,chievo,Gamberini A.,Dif,6.5,"
-		  ",-,-,-,-,-,-,6.5,2015-20,1
48,chievo,Castro L.,Cen,6,"
-		  ",-,-,-,-,-,-,6,2015-20,1
49,chievo,Radovanovic I.,Cen,5.5,"
-		  ",-,-,-,-,-,-,5.5,2015-20,1
